,Shrt_Desc,Water_(g),Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Copper_mg),Panto_Acid_mg),Vit_A_IU,Vit_A_RAE,Vit_D_µg,Vit_D_IU,FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Calcium_(g),Iron_(g),Magnesium_(g),Phosphorus_(g),Potassium_(g),Sodium_(g),Zinc_(g),Manganese_(g),Selenium_(g),Vit_C_(g),Thiamin_(g),Riboflavin_(g),Niacin_(g),Vit_B6_(g),Folate_Tot_(g),Folic_Acid_(g),Food_Folate_(g),Folate_DFE_(g),Choline_Tot_ (g),Vit_B12_(g),Retinol_(g),Alpha_Carot_(g),Beta_Carot_(g),Beta_Crypt_(g),Lycopene_(g),Lut+Zea_ (g),Vit_E_(g),Vit_K_(g),Cholestrl_(g),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Refuse_Pct,Energ_Kcal
5967,"COOKIES,CHOC CHIP,PREP FROM RECIPE,MADE W/MARGARINE",5.7,5.7,28.3,1.5,58.4,2.8,,0.383,0.255,683.0,143.0,,,8.074,10.377,8.41,0.039,0.00246,0.055,0.1,0.224,0.361,0.00093,0.0006630000000000001,0.000111,0.0003,0.000185,0.000178,0.0013620000000000001,8.5e-05,0.00033,0.0002,0.00013,0.00047,,8e-07,0.0013,,0.0015,,,,,,0.032,28.0,1 oz,32.0,"1 bar,  (2"" square)",0.0,488
5968,ORANGE PNAPPL JUC BLEND,87.24,0.41,0.08,0.35,12.2,0.2,10.57,0.034,,17.0,1.0,0.0,0.0,0.011,0.009,0.024,0.008,0.00017999999999999998,0.01,0.011,0.15,0.004,5.9999999999999995e-05,0.000378,1e-06,0.0407,4e-05,2.5e-05,0.00017299999999999998,6.1e-05,0.0001,0.0,0.0001,0.0001,0.0038,0.0,0.0,3e-05,5e-05,9e-05,0.0,0.00014,7.000000000000001e-05,1e-06,0.0,246.0,8 fl oz,,,0.0,51
5969,"PEARS,CND,JUC PK,SOL&LIQUIDS",86.47,0.34,0.07,0.19,12.94,1.6,9.7,0.053,0.022,6.0,0.0,0.0,0.0,0.004,0.014,0.015,0.009,0.00029,0.007,0.012,0.096,0.004,8.999999999999999e-05,3.4e-05,0.0,0.0016,1.1e-05,1.1e-05,0.0002,1.4e-05,1e-05,0.0,1e-05,1e-05,0.0034,0.0,0.0,0.0,3e-05,0.0,0.0,0.00034,8e-05,3e-06,0.0,248.0,"1 cup,  halves",76.0,"1 half, with liquid",0.0,50
5970,"PERCH,MIXED SPECIES,RAW",79.13,19.39,0.92,1.24,0.0,0.0,0.0,0.15,0.75,30.0,9.0,3.0,118.0,0.185,0.152,0.368,0.08,0.0009,0.03,0.2,0.269,0.062,0.00111,0.0007,0.000126,0.0017,7.000000000000001e-05,0.0001,0.00152,0.00011999999999999999,5e-05,0.0,5e-05,5e-05,0.065,1.8999999999999998e-05,9e-05,0.0,0.0,0.0,0.0,0.0,0.0002,1e-06,0.09,60.0,1 fillet,85.0,3 oz,0.0,91
5971,"GRANOLA BARS,HARD,ALMOND",3.1,7.7,25.5,1.6,62.0,4.8,,0.127,0.466,37.0,2.0,,,12.51,7.74,3.76,0.032,0.0025,0.081,0.228,0.273,0.256,0.00158,0.001365,0.00015,0.0,0.00028000000000000003,7.000000000000001e-05,0.00061,4.7e-05,0.00012,0.0,0.00012,0.00012,,0.0,0.0,,,,,,,,0.0,28.0,1 oz,24.0,1 bar,0.0,495
5972,"LAMB,NZ,IMP,FRZ,COMP OF RTL CUTS,LN&FAT,1/8""FAT,CKD",54.8,25.26,17.98,1.4,0.0,0.0,,0.102,0.53,0.0,0.0,,,8.76,6.96,0.88,0.015,0.0020800000000000003,0.019,0.211,0.161,0.046,0.00361,2.3e-05,2e-05,0.0,0.00011,0.00041,0.00731,0.00011,1e-05,0.0,1e-05,1e-05,,2.7099999999999998e-05,0.0,,,,,,,,0.106,85.0,3 oz,242.0,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",27.0,270
5973,"BEE,ASTRLN,WGYU,RB,SML END RB STK/RST,BLS,LN,MRBLSCR 4/5,RAW",61.92,20.35,16.93,0.91,0.0,0.0,0.0,,,0.0,0.0,,,6.536,8.451,0.523,0.004,0.00189,,,,0.058,,,,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.072,85.0,3 oz,342.0,1 roast,26.0,234
5974,"NUTS,MXD NUTS,OIL RSTD,W/ PNUTS,LIGHTLY SALTED",2.08,20.04,53.95,2.88,21.05,7.0,4.15,0.907,1.14,3.0,0.0,0.0,0.0,8.711,28.488,14.612,0.117,0.00261,0.229,0.456,0.632,0.161,0.0033599999999999997,0.00204,0.000339,0.0005,0.000189,0.00019600000000000002,0.007709,0.000352,0.00083,0.0,0.00083,0.00083,0.052,0.0,0.0,0.0,2e-05,0.0,0.0,8e-05,0.00782,5.7e-05,0.0,28.0,1 oz,,,0.0,607
5975,"MCDONALD'S,PREMIUM GRILLED CHICK CLUB SNDWCH",52.52,17.19,8.05,2.38,19.87,1.2,2.89,,0.826,355.0,,,,2.89,2.508,2.16,0.095,0.0013700000000000001,,,,0.462,,,,0.0044,0.00017199999999999998,0.000186,0.005575,,,,,,,,,,,,,,,,0.046,223.0,"1 item, 7.9 oz",,,0.0,221
5976,"CEREALS RTE,KASHI ORGANIC PROMISE,CINN HARVEST",5.0,11.0,1.4,3.6,79.0,10.7,16.5,,,0.0,,,,0.2,0.2,1.0,0.025,0.0028,,,0.316,0.004,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,55.0,"28 biscuits,  (1 NLEA serving)",,,0.0,336
5977,"USDA CMDTY,BAKERY,FLR MIX LOW-FAT",10.51,9.07,4.7,5.13,70.59,3.5,,0.141,0.425,0.0,0.0,,,0.85,1.83,0.65,0.181,0.00411,0.028,0.633,0.141,1.36,0.00068,0.0007790000000000001,6.7e-05,0.0,0.00065,0.000423,0.0059039999999999995,9.3e-05,0.00183,0.00154,0.00029,0.00291,,,,,,,,,,,0.0,,,,,0.0,361
5978,"BABYFOOD,VEG,SWT POTATOES,JR",84.1,1.1,0.1,0.7,14.0,1.5,4.24,0.1,0.408,6636.0,332.0,0.0,0.0,0.021,0.004,0.044,0.016,0.00039,0.012,0.024,0.243,0.018,0.00011,,7e-06,0.0096,2.6e-05,3.4e-05,0.000384,0.00011300000000000001,0.0001,0.0,0.0001,0.0001,0.013099999999999999,0.0,0.0,0.0,0.03982,0.0,0.0,0.0,0.0005200000000000001,1.5e-05,0.0,224.0,1 cup,14.0,1 tbsp,0.0,60
5979,"SEA BASS,MXD SP,CKD,DRY HEAT",72.14,23.63,2.56,1.4,0.0,0.0,,0.024,0.87,213.0,64.0,,,0.655,0.544,0.953,0.013,0.00037,0.053,0.248,0.328,0.087,0.0005200000000000001,2e-05,0.000468,0.0,0.00013000000000000002,0.00015,0.0019,0.00046,6e-05,0.0,6e-05,6e-05,,3e-06,0.00064,,,,,,,,0.053,101.0,1 fillet,85.0,3 oz,0.0,124
5980,"Popcor, microwav, regula (butter) flavo, mad with pal oil",0.9,8.38,30.22,3.23,57.26,10.0,0.3,0.204,0.201,182.0,9.0,0.0,0.0,14.598,0.374,4.124,0.023,0.00206,0.11,0.275,0.393,0.763,0.00232,0.000772,5.9000000000000004e-05,0.0,4.7e-05,5.9999999999999995e-05,0.001615,0.00031,0.00015,0.0,0.00015,0.00015,0.0154,0.0,0.0,6e-05,0.0005,0.00111,0.0,0.01115,0.0029100000000000003,4.2999999999999995e-05,0.0,7.0,1 cup,87.0,1 bag,0.0,535
5981,"MURRAY,SOUTHERN KITCHEN,CHOC CHIP COOKIES",3.0,5.5,23.7,,66.5,2.5,30.5,,,,,,,9.1,6.0,7.2,,0.0033,0.036,0.13,0.134,0.493,0.0007,,,,0.00035999999999999997,0.00023,0.0027,2e-05,0.00071,,,,,,,,,,,,,,0.0,28.0,2 cookies,,,0.0,493
5982,"ROSE HIPS,WILD (NORTHERN PLAINS INDIANS)",58.66,1.6,0.34,1.18,38.22,24.1,2.58,0.113,0.8,4345.0,217.0,,,,,,0.169,0.00106,0.069,0.061,0.429,0.004,0.00025,0.00102,,0.426,1.6e-05,0.000166,0.0013,7.6e-05,3e-05,,3e-05,,0.012,,,0.00031,0.0235,0.00483,0.068,0.02001,0.00584,0.000259,,127.0,1 cup,,,0.0,162
5983,"OSTRICH,TOP LOIN,CKD",67.95,28.12,3.87,0.83,0.0,0.0,0.0,0.148,1.301,0.0,0.0,,,1.32,1.27,0.38,0.006,0.00331,0.025,0.245,0.353,0.077,0.004719999999999999,1.7999999999999997e-05,0.000366,0.0,0.000229,0.000289,0.007051,0.0005380000000000001,0.00015,0.0,0.00015,0.00015,,6.17e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00023,3.4e-05,0.093,85.0,"1 serving,  ( 3 oz )",,,0.0,155
5984,"COCOA MIX,NESTLE,RICH CHOC HOT COCOA MIX",3.73,3.0,15.0,3.27,75.0,4.0,60.0,,,11.0,,,,10.0,,,0.1,0.0018,,,0.0,0.85,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,20.0,"1 serving, 1 envelope",,,0.0,400
5985,"BEEF,AUSTRALN,GRS-FED,LOIN,TENDRLN STK/RST,BNLS,LN & FAT,RAW",71.21,20.53,7.63,1.06,0.01,0.0,0.0,,,4.0,1.0,,,3.393,3.046,0.42,0.004,0.00221,,,,0.062,,,,0.0,,,,,,,,,,,1e-05,0.0,0.0,0.0,0.0,0.0,,,0.05,150.0,1 steak,,,0.0,151
5986,"CHEESE,CHEDDAR,RED FAT",44.29,27.35,20.41,3.89,4.06,0.0,0.26,0.043,0.389,522.0,145.0,0.3,13.0,12.602,5.304,0.893,0.761,0.00011999999999999999,0.027,0.52,0.063,0.628,0.00444,3.1e-05,0.000358,0.0,2.1000000000000002e-05,0.000397,0.000145,8.400000000000001e-05,0.0002,0.0,0.0002,0.0002,0.0154,1.4099999999999999e-05,0.00142,0.0,0.00028,1e-05,0.0,4e-05,0.00047999999999999996,1.5e-05,0.076,21.0,1 slice,,,0.0,309
5987,"ICE CRM,LT,SOFT SERVE,CHOC",68.92,3.36,3.69,0.88,23.15,0.0,19.46,0.217,0.096,336.0,91.0,0.7,26.0,2.349,1.033,0.125,0.134,0.0006,0.036,0.113,0.207,0.064,0.00067,0.000212,2.2999999999999997e-05,0.0,3.3e-05,0.000124,0.000186,3.8e-05,0.00017,0.00012,5e-05,0.00026,0.0104,2.6e-06,0.0009,0.0,5e-05,0.0,0.0,2e-05,8e-05,4e-06,0.015,298.0,1 medium,,,0.0,141
5988,"BEEF,SHLDR POT RST,BNLESS,LN & FAT,0"" FAT,SEL,CKD,BRSD",60.15,31.18,8.41,1.35,0.0,0.0,0.0,0.116,0.798,24.0,7.0,0.1,5.0,2.884,3.414,0.953,0.013,0.00329,0.026,0.228,0.352,0.062,0.00928,1.4e-05,0.000366,0.0,7.9e-05,0.00026000000000000003,0.004347,0.000578,8e-05,0.0,8e-05,8e-05,0.0997,3.36e-05,7e-05,0.0,0.0,0.0,0.0,0.0,8e-05,1.6e-05,0.098,85.0,3 oz,779.0,1 roast,7.0,200
5989,"CANDIES,NESTLE,BIT-O'-HONEY CANDY CHEWS",8.3,2.0,7.5,1.31,80.89,0.2,48.0,0.026,0.082,0.0,0.0,0.0,0.0,5.5,1.03,0.338,0.035,0.0002,0.007,0.028,0.044,0.295,0.00049,3.8e-05,1.3000000000000001e-05,0.0008,5.9999999999999995e-05,4.4e-05,6.900000000000001e-05,8.999999999999999e-06,2e-05,0.0,2e-05,2e-05,0.0025,6e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,40.0,"1 serving, 6 pieces",,,0.0,375
5990,"CHICKEN,BROILERS OR FRYERS,DK MEAT,MEAT ONLY,RAW",75.99,20.08,4.31,0.94,0.0,0.0,0.0,0.063,1.249,72.0,22.0,,,1.1,1.34,1.07,0.012,0.00103,0.023,0.162,0.222,0.085,0.002,2.1000000000000002e-05,0.000135,0.0031,7.7e-05,0.000184,0.006246000000000001,0.00033,0.0001,0.0,0.0001,0.0001,,3.6e-06,0.00022,0.0,0.0,0.0,0.0,0.0,0.00020999999999999998,2.4e-05,0.08,109.0,"1 unit,  (yield from 1 lb ready-to-cook chicken)",182.0,".5 chicken, bone and skin removed",56.0,125
5991,"CARBONATED BEV,CHOCOLATE-FLAVORED SODA",89.2,0.0,0.0,0.1,10.7,0.0,10.7,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0001,0.001,0.001,0.05,0.004,0.00016,3.5999999999999994e-05,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,1 fl oz,492.0,"1 can,  or bottle (16 fl oz)",0.0,42
5992,"CELERIAC,RAW",88.0,1.5,0.3,1.0,9.2,1.8,1.6,0.07,0.352,0.0,0.0,0.0,0.0,0.079,0.058,0.148,0.043,0.0007,0.02,0.115,0.3,0.1,0.00033,0.000158,7e-06,0.008,5e-05,5.9999999999999995e-05,0.0007,0.000165,8e-05,0.0,8e-05,8e-05,0.009,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.00035999999999999997,0.00041,0.0,156.0,1 cup,,,14.0,42
5993,"CARROTS,CND,REG PK,SOL&LIQUIDS",92.99,0.58,0.14,0.92,5.37,1.8,2.46,0.103,0.139,12264.0,613.0,0.0,0.0,0.025,0.006,0.065,0.031,0.0005200000000000001,0.009,0.02,0.173,0.24,0.00029,0.00045,4e-06,0.002,1.9e-05,2.7e-05,0.000421,0.000112,8e-05,0.0,8e-05,8e-05,0.0063,0.0,0.0,0.02692,0.0594,0.00144,0.0,0.0049,0.00073,9.800000000000001e-05,0.0,123.0,".5 cup, slices",454.0,"1 can,  (303 x 406)",0.0,23
5994,"MACARONI & CHS,BOX MIX W/ CHS SAU,PREP",63.59,6.68,4.99,1.64,23.1,1.2,1.57,0.067,0.415,72.0,22.0,,,1.636,2.216,1.044,0.085,0.00117,0.015,0.234,0.08,0.46,0.00065,0.000224,,,0.000155,8.999999999999999e-05,0.00115,2.5e-05,,,,,,2.7e-06,0.00022,,,,,,0.00054,,0.008,189.0,"1 cup, prepared",,,0.0,164
5995,"BURRITO, BEAN AND CHEESE, FROZEN",50.99,7.07,6.3,1.63,34.01,3.4,3.21,0.129,0.403,68.0,8.0,0.0,0.0,1.343,1.298,3.104,0.052,0.0025099999999999996,0.031,0.117,0.21,0.351,0.0007099999999999999,0.000408,0.000127,0.0003,0.000287,0.00014299999999999998,0.00248,8.5e-05,0.00105,0.00047,0.00058,0.00138,0.0223,8e-07,5e-05,1e-05,0.00024,0.00011,0.0,0.00036,0.00037,7.599999999999999e-05,0.002,129.0,1 burrito,,,0.0,221
5996,"MILK,DRY,WHL,W/ ADDED VITAMIN D",2.47,26.32,26.71,6.08,38.42,0.0,38.42,0.08,2.271,934.0,258.0,10.5,420.0,16.742,7.924,0.665,0.912,0.00047,0.085,0.776,1.33,0.371,0.0033399999999999997,4e-05,0.000163,0.0086,0.000283,0.0012050000000000001,0.000646,0.00030199999999999997,0.00037,0.0,0.00037,0.00037,0.1193,3.25e-05,0.00253,0.0,0.00055,0.0,0.0,0.0,0.00058,2.2000000000000003e-05,0.097,32.0,.25 cup,128.0,1 cup,0.0,496
5997,"YOGURT,VANILLA FLAVOR,LOWFAT MILK,SWTND W/ LO CAL SWTNR",79.0,4.93,1.25,1.02,13.8,0.0,5.43,0.013,0.552,43.0,12.0,0.0,1.0,0.752,0.313,0.035,0.171,7.000000000000001e-05,0.016,0.135,0.219,0.066,0.00083,4e-06,4.9000000000000005e-05,0.0008,4.2000000000000004e-05,0.000201,0.000107,4.4999999999999996e-05,0.00011,0.0,0.00011,0.00011,0.0152,5.3e-06,0.00012,0.0,2e-05,0.0,0.0,0.0,2e-05,1e-06,0.005,170.0,1 container,,,0.0,86
5998,"CREAM PUFF,ECLAIR,CUSTARD OR CRM FILLED,ICED",38.64,4.41,18.52,1.0,37.43,0.9,22.05,0.06,0.471,88.0,23.0,0.3,11.0,7.055,6.07,4.173,0.035,0.00095,0.01,0.071,0.068,0.265,0.00045,0.000224,0.000155,0.0,0.000263,0.000241,0.001908,4.1e-05,0.00066,0.00049,0.00016,0.001,0.0442,1.7e-06,0.00022,0.0,1e-05,1e-05,0.0,0.00086,0.00095,6.7e-05,0.066,113.0,4 oz,,,0.0,334
5999,"CAKE,CARROT,DRY MIX,PUDDING-TYPE",3.6,5.1,9.8,2.4,79.2,,,0.05,0.294,1930.0,97.0,,,1.472,4.036,3.702,0.172,0.0018,0.008,0.247,0.169,0.567,0.0002,0.000528,0.00014900000000000002,0.0012,0.000265,0.00017,0.002205,7.9e-05,0.00067,0.00053,0.00014,0.00104,,4e-07,0.0,,,,,,,,0.0,28.0,1 oz,510.0,"1 package,  (18 oz)",0.0,415
6000,"BEEF,PLATE,INSIDE SKIRT STEAK,LN,0"" FAT,ALL GRDS,CKD,BRLD",61.77,26.66,10.06,1.09,0.0,0.0,0.0,0.095,,0.0,0.0,,,3.85,5.22,0.36,0.011,0.00283,0.024,0.236,0.295,0.076,0.00743,,0.00019899999999999999,0.0,9.2e-05,0.000194,0.00382,0.00032700000000000003,7e-05,0.0,7e-05,7e-05,0.1015,3.7999999999999995e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00011,,0.085,85.0,"3 oz,  ( 1 serving )",,,3.0,205
6001,"V8 VEG JUC,ESSENTIAL ANTIOXIDANTS V8",93.3,0.82,0.0,1.35,4.53,0.8,3.29,,,2058.0,,,,0.0,,,0.016,0.0003,,,0.177,0.198,0.00062,,,0.0494,,,,,,,,,,,,,,,,,,,0.0,243.0,8 oz,243.0,1 serving,0.0,21
6002,"CANDIES,NESTLE,BUTTERFINGER BAR",1.23,5.4,18.9,1.57,72.9,2.0,45.9,0.193,0.37,0.0,0.0,0.0,0.0,9.5,5.119,3.164,0.036,0.00079,0.048,0.097,0.22,0.23,0.001,0.00049,2.9e-05,0.0,0.000121,6.2e-05,0.002649,6.900000000000001e-05,0.00028,0.0,0.00028,0.00028,0.015,4e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.00172,2.2000000000000003e-05,0.0,60.0,"1 serving, 2.1 oz bar",18.0,"1 serving, 1 fun size bar 0.65 oz",0.0,459
6003,"AUSTIN,CHOCOLATEY PNUT BUTTER CRACKERS,SANDWICH-TYPE",2.7,7.7,20.8,,66.2,2.0,17.3,,,,,,,4.1,5.8,9.2,,0.0031,0.011,0.116,0.065,0.584,,,,,0.00041,0.00026000000000000003,0.0035,,0.00107,,,,,,,,,,,,,,0.0,39.0,1 package,,,0.0,479
6004,"SAUCE,TERIYAKI,RTS",67.69,5.93,0.02,10.43,15.56,0.1,14.1,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0017,0.061,0.154,0.225,3.833,0.0001,0.0,1.1000000000000001e-05,0.0,2.9999999999999997e-05,7.000000000000001e-05,0.00127,0.0001,8e-05,0.0,8e-05,8e-05,0.0195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1 tbsp,36.0,1 fl oz,0.0,89
6005,"CORN,SWT,YEL,FRZ,KRNLS CUT OFF COB,UNPREP",75.0,3.02,0.78,0.48,20.71,2.1,2.5,0.036,0.361,195.0,10.0,0.0,0.0,0.119,0.227,0.366,0.004,0.00041999999999999996,0.018,0.07,0.213,0.003,0.00038,0.000123,7e-06,0.0064,8.3e-05,6.8e-05,0.001739,0.00016800000000000002,0.00036,0.0,0.00036,0.00036,0.024,0.0,0.0,0.00017,0.00049,0.0012,0.0,0.00672,8e-05,3e-06,0.0,136.0,1 cup,284.0,1 package,0.0,88
6006,"SUNSHINE,CHEEZ-IT,100 CAL RIGHT BITES,EX CHEESY PARTY MIX",3.0,8.5,17.4,,65.3,3.1,2.7,,,,,0.0,0.0,3.9,3.5,7.1,,0.0038,0.006,0.025,0.038,1.338,0.0003,,,,0.00022,0.00013000000000000002,0.0017,1e-05,0.0005,,,,,0.0,,,,,,,0.0,,0.003,21.0,1 pouch,,,0.0,473
6007,"BEEF,TOP LOIN FILET,BNLESS,LN & FAT,1/8"" FAT,CHOIC,CKD,GRILD",55.6,26.8,15.9,1.1,0.6,0.0,0.0,0.162,,24.0,7.0,0.2,7.0,5.454,7.142,0.527,0.007,0.00323,0.026,0.231,0.368,0.091,0.01021,,0.000343,0.0,7.6e-05,0.00026700000000000004,0.004037,0.000408,7e-05,0.0,7e-05,7e-05,,3.63e-05,7e-05,0.0,0.0,0.0,0.0,0.0,,1.6e-05,0.085,135.0,1 fillet,,,12.0,253
6008,"BEEF,TOP LOIN PETITE RST,BNLESS,LN,1/8"" FAT,CHOIC,CKD,RSTD",59.74,28.24,9.97,1.18,0.88,0.0,0.0,0.094,,5.0,1.0,0.1,5.0,3.498,4.421,0.375,0.017,0.00202,0.025,0.231,0.371,0.062,0.0056,,0.000346,0.0,7.5e-05,0.000145,0.00833,0.000588,7e-05,0.0,7e-05,7e-05,,3.72e-05,1e-05,0.0,0.0,0.0,0.0,0.0,,1.6e-05,0.079,85.0,3 oz,677.0,1 roast,14.0,206
6009,"Snacks, tortilla chips, nacho cheese",1.66,7.36,27.42,2.75,60.81,5.1,2.59,0.102,0.364,112.0,6.0,0.0,0.0,3.876,9.089,12.257,0.137,0.00116,0.075,0.252,0.223,0.691,0.00138,0.00033,7.400000000000001e-05,0.0004,0.000153,0.000136,0.0012900000000000001,0.00022,0.00013,0.0,0.00013,0.00013,0.0225,0.0,0.0,8e-05,0.00035,0.00055,0.00033,0.00769,0.00624,1.3000000000000001e-05,0.0,28.0,1 oz,,,0.0,519
6010,"SHORTENING CONFECTIONERY,COCNT (HYDR)&OR PALM KERNEL (HYDR)",0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.3,2.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00195,0.00043,0.0,12.0,1 tbsp,205.0,1 cup,0.0,884
6011,"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,PRIME,CKD,BRLD",43.48,20.65,34.97,0.9,0.0,0.0,,0.076,0.33,0.0,0.0,,,14.51,15.29,1.21,0.01,0.0020800000000000003,0.019,0.164,0.298,0.062,0.00487,1.3e-05,0.00021600000000000002,0.0,7.000000000000001e-05,0.00017,0.00264,0.00027,6e-05,0.0,6e-05,6e-05,,2.79e-05,0.0,,,,,,,,0.086,85.0,3 oz,278.0,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",18.0,404
6012,MILLET FLR,8.67,10.75,4.25,1.21,75.12,3.5,1.66,0.535,1.267,,,,,0.536,0.924,2.618,0.014,0.00394,0.119,0.285,0.224,0.004,0.00263,0.001002,0.00032700000000000003,0.0,0.00041299999999999996,7.3e-05,0.006019999999999999,0.000372,0.00042,0.0,0.00042,0.00042,,,,,,,,,0.00011,8e-06,,119.0,1 cup,,,0.0,382
6013,"BEEF,NZ,IMP,SWEETBREAD,RAW",57.67,11.51,28.6,2.36,0.0,0.0,0.0,5.1,0.6,65.0,19.0,0.6,25.0,12.294,8.072,0.646,0.004,0.00115,0.015,0.331,0.318,0.064,0.001,1.2e-05,9e-05,0.0,8.7e-05,0.000122,0.002,4.1e-05,,,,,,2.1000000000000002e-05,0.00019,0.0,0.0,0.0,0.0,0.0,0.00069,,0.217,113.0,4 oz,,,7.0,303
6014,"SPANISH RICE MIX,DRY MIX,UNPREP",7.27,10.62,1.62,4.04,76.45,3.1,3.83,0.19,0.626,469.0,23.0,,,0.395,0.341,0.604,0.029,0.00332,0.037,0.146,0.445,1.085,0.00103,0.00079,0.000331,,0.0008219999999999999,0.00028799999999999995,0.0071790000000000005,0.000248,0.00162,,,,,,,1e-05,0.00255,0.00052,0.03677,0.00245,0.00086,2.7000000000000002e-05,,70.0,.5 cup,56.0,.33 cup,0.0,363
6015,"LAMB,AUS,IMP,FRSH,LEG,SIRLOIN HALF,BNLESS,LN,1/8""FAT,RAW",73.68,20.48,5.64,1.03,0.0,,,0.179,0.53,,,,,2.308,2.293,0.267,0.01,0.00175,0.023,0.195,0.328,0.08,0.0035,1.7e-05,9.800000000000001e-05,,0.000155,0.00032,0.00556,0.000406,,,,,,3.0099999999999996e-05,,,,,,,,,0.063,28.0,1 oz,453.6,1 lb,24.0,138
6016,"RESTAURANT,LATINO,BLACK BEAN SOUP",75.91,5.1,2.57,1.63,14.79,4.9,0.89,0.161,0.17,2.0,1.0,,,0.535,1.035,0.787,0.042,0.00176,0.041,0.109,0.34,0.311,0.00067,0.000326,9.1e-05,,5.9999999999999995e-05,2.5e-05,0.000675,9.6e-05,,,,,0.0352,0.0,1e-05,,,,,,7.000000000000001e-05,6e-05,0.001,246.0,1 cup,,,0.0,103
6017,"BEEF,GROUND,95% LN MEAT / 5% FAT,PATTY,CKD,PAN-BROILED",66.9,25.8,5.94,1.09,0.0,0.0,0.0,0.091,0.646,10.0,3.0,0.0,2.0,2.589,2.365,0.284,0.009,0.00285,0.024,0.222,0.376,0.071,0.00645,1.2e-05,0.000211,0.0,4.2999999999999995e-05,0.000177,0.006275,0.000391,7e-05,0.0,7e-05,7e-05,0.0838,2.79e-05,3e-05,0.0,0.0,0.0,0.0,0.0,0.00013000000000000002,1.2e-05,0.084,85.0,3 oz,,,0.0,164
6018,"PORK,FRSH,LOIN,CNTR RIB (ROASTS),BNLESS,LN,CKD,RSTD",60.61,28.81,10.13,1.14,0.0,0.0,,0.012,0.581,8.0,0.0,0.7,29.0,3.54,4.49,0.85,0.006,0.001,0.024,0.222,0.363,0.05,0.00283,1.1e-05,0.00043200000000000004,0.0004,0.000639,0.000312,0.005355,0.0004,9e-05,0.0,9e-05,9e-05,,5.500000000000001e-06,0.0,,,,,,,,0.083,85.0,3 oz,283.0,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",18.0,214
6019,"BREAD,WHEAT GERM,TOASTED",29.3,10.7,3.3,2.4,54.3,2.3,4.14,0.202,0.34,4.0,0.0,0.0,0.0,0.738,1.432,0.751,0.1,0.0038799999999999998,0.038,0.175,0.285,0.621,0.00146,0.001259,0.000305,0.0003,0.000332,0.000379,0.004548,9.6e-05,0.00112,0.00069,0.00043,0.0016,0.0221,7.000000000000001e-07,0.0,0.0,2e-05,0.0,0.0,0.00058,0.00057,1.2e-05,0.001,28.0,1 oz,25.0,1 slice,0.0,293
6020,"PORK,FRSH,LOIN,SIRLOIN (CHOPS OR ROASTS),BNLESS,LN&FAT,RAW",73.16,22.49,4.05,1.28,0.0,0.0,0.0,0.069,0.721,8.0,3.0,0.4,18.0,1.393,1.722,0.708,0.009,0.00055,0.022,0.247,0.354,0.063,0.0017,1.1e-05,0.00036700000000000003,0.0,0.0006,0.000252,0.007239,0.0006,0.0,0.0,0.0,0.0,0.0773,4.9e-06,3e-05,0.0,0.0,0.0,0.0,0.0,0.00017999999999999998,0.0,0.063,85.0,3 oz,210.0,1 chop,6.0,133
